timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdication_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,attributes_source,document_name,document_summary,document_raw,,document_filename,document_url,document2_name,documentation2_summary,document2_raw,document2_url
,Eni SpA,,,Eni SpA,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=47233834,,,,,Italy,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=ENI:IM,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Esso Exploration and Production Nigeria Limited,74,,Esso Exploration and Production Nigeria Limited,http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,Nigeria,http://www.exxonmobil.com/Nigeria-English/HR/careers.aspx,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Esso Exploration and Production Nigeria Limited,73,,Esso Exploration and Production Nigeria Limited,http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,Nigeria,http://www.exxonmobil.com/Nigeria-English/HR/careers.aspx,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Express Petroleum and Gas Company Limited,,,Express Petroleum and Gas Company Limited,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,ng/154941,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,,,,,,,"Alhaji Aminu Alhassan Dantata, Director 
Alhaji Tajudeen Aminu Dantata, Director
Alhaji Sadiq Aminu Dantata, Director
Alhaji Hassan Aminu Dantata, Director
Ummalkahair Aminu Dantata, Director
Alhaji Aminu Adamu Muhammad, Director
Alhaji Lawal Umar, Director","Alhaji Aminu Alhassan Dantata (480,000,000)
Alhaji Tajudeen Aminu Dantata (5,000,000)
Alhaji Sadiq Aminu Dantata (5,000,000)
Alhaji Hassan Aminu Dantata (5,000,000)
Ummalkahair Aminu Dantata (5,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 EXPRESS PETROLEUM AND GAS COMPANY LIMITED NAME EXPRESS PETROLEUM AND GAS COMPANY LIMITED. 1. NAME SENT FOR SEARCH IF DIFFERENT SAME. 2. REGISTRATION NO. 154941 3. DATE OF REGISTRATION NOT KNOWN AS THE COMPANY CERTIFICATE WAS NOT FOUND IN THE FILE. 4. SECRETARY NIL 5. SHARE CAPITAL 500,000,000. 6. SHARE INCREASE YES. THE SHARE CAPITAL OF THE COMPANY WAS INCREASED FROM 1, 000, 000 (AS AT INCORPORATION) TO 500, 000, 000 ON JULY 9TH 2008. 7. REGISTERED OFFICE NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. 8. DIRECTORS/ADDRESS NAME ADDRESS ALHAJI AMINU ALHASSAN DANTATA ALHAJI TAJUDEEN AMINU DANTATA ALHAJI SADIQ AMINU DANTATA ALHAJI HASSAN AMINU DANTATA UMMALKAHAIR AMINU DANTATA ALHAJI AMINU ADAMU MUHAMMAD ALHAJI LAWAL UMAR NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. 21, BALIMALUNGUWA STREET, GAMA, BRIGADE, KANO STATE 450, KOFARMOZUGAL QUARTERS, KANO 11. SHAREHOLDERS NAME ADDRESS SHARE STRUCTURE Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 ALHAJI AMINU ALHASSAN DANTATA ALHAJI TAJUDEEN AMINU DANTATA ALHAJI SADIQ AMINU DANTATA ALHAJI HASSAN AMINU DANTATA UMMALKAHAIR AMINU DANTATA NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. NO. 66/67 MURTALA MOHAMMED WAY, KANO STATE. 480,000,000 5, 000, 000 5, 000, 000 5, 000, 000 5, 000, 000 14. MAIN OBJECT TO CARRY ON BUSINESS AS SUPPLIERS, WHOLESALER, RETAILERS OF ALL KINDS OF PETROLEUM OIL PRODUCTS, GAS AND ALL TYPES OF MOTOR SPIRITS, LUBRICANTS, PETRO-CHEMICAL AND CHEMICAL PRODUCTS. 15. BORROWING POWERS YES BY CLAUSE 30 OF THE ARTICLES OF ASSOCIATION 16. ANNUAL RETURNS 1992-2010 17. MORTGAGES ENCUMBRANCES NIL. 18. PLACE OF SEARCH THE CORPORATE AFFAIRS COMISSION HEADQUARTERS ABUJA. 19. DATE OF SEARCH 20TH NOVEMEBR, 2013. 20. OBSERVATION THE COMPANY APPEARS TO HAVE BEEN DULY REGISTERED.",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/154941 EXPRESS PETROLEUM AND GAS COMPANY LIMITED.pdf,ng_154941 EXPRESS PETROLEUM AND GAS COMPANY LIMITED.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-Oc202aWtIVXRaV0U/edit?usp=sharing,,,,
,Exprotech Nigeria Limited,,,Exprotech Nigeria Limited,http://www.belloil.com/clients/2012-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,ExxonMobil Corporation,78,,ExxonMobil Corporation,http://www.exxonmobil.com.ng/nigeria-english/pa/about_who_eepnl.aspx,,,,,United States,http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=XOM,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,ExxonMobil Nigeria,77,,ExxonMobil Nigeria,http://cisaninternational.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,First Aluminum Plc,,,First Aluminum Plc,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,First Axis Oil & Gas,,,First Axis Oil & Gas,http://www.oandoplc.com/wp-content/uploads/Q12006.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,First Exploration & Petroleum Development Company Limited,,,First Exploration & Petroleum Development Company Limited,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,First Hydrocarbon Nigeria Limited,,,First Hydrocarbon Nigeria Limited,http://www.fhnigeria.com/assets/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Fomoyi Services Nigeria limited,,,Fomoyi Services Nigeria limited,http://fomoyi.com/index.php?option=com_content&view=article&id=5&Itemid=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,G. Cappa Plc,,,G. Cappa Plc,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Galba Limited,,,Galba Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Geometric Power Limited,,,Geometric Power Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Glencore Energy UK Limited,,,Glencore Energy UK Limited,http://www.siriuspetroleum.com/media-news/sirius-petroleum-plc-glencore-exclusivity-off-take-agreement/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Global Gas and Refining Limited,,,Global Gas and Refining Limited,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Global Offshore Drilling Limited,,,Global Offshore Drilling Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Grinaker Limited,,,Grinaker Limited,http://www.technip.com/sites/default/files/technip/publications/attachments/Technip_in_Nigeria_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Gunvor International,,,Gunvor International,CBN Appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Hamilton Technologies Limited,,,Hamilton Technologies Limited,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,,,ng/356074,https://drive.google.com/file/d/0B-KlXDOYUc-OV1dZN3d4T0dlNms/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OV1dZN3d4T0dlNms/edit?usp=sharing,,,,,1992,http://hamiltontechnologies.com/index.php/about,"Plot 226, Block C, Phase II, Trans Amadi Industrial Layout, Port Harcourt, Rivers state",,"Sobere Benjamin Diri, Director
Josephine Lolla Diri, Director
Nnem M. Diri, Director
Ukachi Joshua Diri, Director
Diri Olivia Lolla, Director","Sobere Benjamin Diri (35,000,000)
Josephine Lolla Diri (5,000,000)
Nnem M. Diri (5,000,000)
Ukachi Joshua Diri (5,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OV1dZN3d4T0dlNms/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 26 June 2014 SEARCH REPORT DATE OF SEARCH 26th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja. NAME OF COMPANY SENT: HAMILTON TECHNOLOGIES LTD DATE OF INCORPORATION 28th April, 1999 RC. NO.: 356074 REG. OFFICE ADDRESS: 226, Block c, Trans Amadi Ind. Layout, Port Harcourt, Rivers State REG. OFFICE ADDRESS(FORMER): 64, Wogu Street, D/Line, Port Harcourt, Rivers State INITIAL SHARE CAPITAL 200,000, divided into 200,000 ordinary shares of N1.00 each SHARE CAPITAL INCRESE: 50,000,000 divided into 50,000,000 ordinary shares of N1.00 each SHARES ALLOTTED 50,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT: Manufacturers, producers, sales and distribution of chemicals and machines, general contract and merchandise. SHAREHOLDERS: NAME SHARES 1. SOBERE BENJAMIN DIRI 64, Wogu Street, D/Line, Port Harcourt, Rivers State 35,000,,000 2. JOSEPHINE LOLLA DIRI 5,000,000 3. NNEM M. DIRI 5,000,000 4. UKACHI JOSHUA DIRI 5,000,000 FIRST DIRECTORS: 1. SOBERE BENJAMIN DIRI 64, Wogu Street, D/Line, Port Harcourt, Rivers State 2. WEDJMARK GORAN 19D, Trans Amadi Ind. Layout, Port Harcourt, Rivers State (Sweddish) 3. GUARDIAND DEVELOPMENT LTD CURRENT DIRECTORS: 1. SOBERE BENJAMIN DIRI 2. JOSEPHINE LOLLA DIRI 3. NNEM M. DIRI 4. UKACHI JOSHUA DIRI 5. DIRI OLIVIA LOLLA SECRETARY: Mrs. Chinwe Bekwele Wami of 1b, Isaac Boro Street, Old GRA, Port- Harcourt, Rivers State. BORROWING POWER: Clause 30 Articles of Association ANNUAL RETURNS: paid up to 2012 CHARGES: 1. Deed of Debenture dated 3rd October, 2007 securing the sum of 550 Million Naira in favour of ECO Bank Plc 2. Deed of Debenture dated 5th July, 2010 securing the sum of 305 Million Naira in favour of Stanbic IBTC bank REMARK/COMMENT: Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/356074 HAMILTON TECHNOLOGIES LTD.pdf,ng_356074 HAMILTON TECHNOLOGIES LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OV1dZN3d4T0dlNms/edit?usp=sharing,,,,
,Hyprops Nigeria Limited,,,Hyprops Nigeria Limited,http://www.hyprops.com/projects.html,,,ng/320059,https://drive.google.com/file/d/0B-KlXDOYUc-ORG4tTHNOTERxVDA/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-ORG4tTHNOTERxVDA/edit?usp=sharing,,,,,,,,,"Akwiwu Okezie, Director
Akwiwu Ndukwe, Director
Oladeinde Ademola Henry, Director","Akwiwu Okezie (10,312,500)
Akwiwu Ndukwe (10,312,500)
Oladeinde Ademola Henry (4,375,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ORG4tTHNOTERxVDA/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 26 June 2014 SEARCH REPORT DATE OF SEARCH 26th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja. NAME OF COMPANY SENT: HYPROPS NIG. LTD DATE OF INCORPORATION 8th September, 1997 RC. NO.: 320059 REG. OFFICE ADDRESS: 93, Block 14, Akanbi Disu, Lekki Phase 1, Lagos REG. OFFICE ADDRESS(FORMER): 4, Adeniran Ogunsanya, Surulere , Lagos State INITIAL SHARE CAPITAL 2,000,000, divided into 2,000,000 ordinary shares of N1.00 each SHARE CAPITAL INCRESE: 25,000,000 divided into 25,000,000 ordinary shares of N1.00 each SHARES ALLOTTED 25,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT: water drilling, subsea intervention services, engineering, producers, importers, exporters, suppliers, distributors and dealers in motor vehicle, spare parts, etc and general contract and merchandise. SHAREHOLDERS: NAME SHARES 1. AKWIWU OKEZIE Address as above 10,312,500 2. AKWIWU NDUKWE As above 10,312,500 3. OLADEINDE ADEMOLA HENRY As above 4,375,000 FIRST DIRECTORS: 1. AKWIWU OKEZIE 2. AKWIWU NDUKWE CURRENT DIRECTORS: 1. AKWIWU OKEZIE 2. AKWIWU NDUKWE 3. OLADEINDE ADEMOLA HENRY SECRETARY: Olukoya Olubukola of 6, Balarabe Musa Crescent, V.I, Lagos. BORROWING POWER: Clauses 26 and 33 of Memorandum and Articles of Association ANNUAL RETURNS: paid up to 2012 CHARGES: NIL REMARK/COMMENT: Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/320059 HYPROPS NIG. LTD.pdf,ng_320059 HYPROPS NIG. LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-ORG4tTHNOTERxVDA/edit?usp=sharing,,,,
,Hyson (Nigeria) Limited,,,Hyson (Nigeria) Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Hyundai Heavy Industries,,,Hyundai Heavy Industries,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Idmon Engineering and Construction Company Limited,,,Idmon Engineering and Construction Company Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Indorama Eleme Petrochemicals Limited,,,Indorama Eleme Petrochemicals Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Instrutech Limited,,,Instrutech Limited,http://www.instrutechng.com/Projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Integrated Data Services Limited,,,Integrated Data Services Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Integrated Quality Technologies Limited,,,Integrated Quality Technologies Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Inter Global Procurement Engineering Services Limited (IGPES),,,Inter Global Procurement Engineering Services Limited (IGPES),http://www.igpesgroup.com/projects/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,International Energy Systems Limited,,,International Energy Systems Limited,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Jagal Group,,,Jagal Group,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Jam Services Company,,,Jam Services Company,http://www.jamservicesco.com/projects.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Jeph Kebbi International Limited Company,,,Jeph Kebbi International Limited Company,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Julius Berger Nigeria Limited,,,Julius Berger Nigeria Limited,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Kaduna Refining & Petrochemicals Company (KPRC),,,Kaduna Refining & Petrochemicals Company (KPRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Kaztec Engineering Limited,,,Kaztec Engineering Limited,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,,,,,,,,,,,2005,http://www.kaztec-eng.com/,"#2, Oguda Close, Off Lake Chad Crescent, Maitama, Abuja FCT, Nigeria.",http://www.kaztec-eng.com/index.php/contact,,,,,,,,,,,,,,http://www.kaztec-eng.com,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Kod Technical Services Nigeria Limited,,,Kod Technical Services Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,Laila Mechanical Engineering Services & Contracting Company Limited (LAMESCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Laser Engineering and Consultancy Nigeria Limited,,,Laser Engineering and Consultancy Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,,,,,1990,http://www.laser-ng.com/,"KM5 East-West Road, Behind Omega House, Along Rumuodara, Port Harcourt, Rivers state, Nigeria",http://www.laser-ng.com/company-profile.html,Prof. Mike Onyekonwu,,http://www.laser-ng.com/company-profile.html,,,,,,,,,,,http://www.laser-ng.com,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Lekoil Limited,,,Lekoil Limited,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Lighthouse Petroleum Engineering Company Limited (LPEC),,,Lighthouse Petroleum Engineering Company Limited (LPEC),http://www.lighthouselaboratories.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,LYK Engineering,,,LYK Engineering,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,MannProject International Limited,,,MannProject International Limited,http://www.mannprojects.com/previous-job/,,,ng/120950,https://drive.google.com/file/d/0B-KlXDOYUc-OM3hBbWQzWkpBZlk/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OM3hBbWQzWkpBZlk/edit?usp=sharing,,,,,,,,,"Okorie Chike, Director
Chineme Precious, Director
Chinedu Samuel, Director
Christ Godson, Director
Onyekachi Daniela O., Director","Okorie Chike (1,380,000)
Chineme Precious (200,000)
Chinedu Samuel (200,000)
Christ Godson (200,000)
Onyekachi Daniela O. (20,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OM3hBbWQzWkpBZlk/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 25 June 2014 SEARCH REPORT DATE OF SEARCH 25th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja. NAME OF COMPANY SENT: MANNPROJECT INTERNATIONAL LTD DATE OF INCORPORATION ******** RC. NO.: 120950 REG. OFFICE ADDRESS: KM 4, NPA Express Road, Effurun, Warri, Delta State REG. OFFICE ADDRESS(FORMER): 74, Refiners Road, Effurun, Warri, Delta State INITIAL SHARE CAPITAL ************ CURRENT SHARE CAPITAL: 30,000,000 divided into 30,000,000 ordinary shares of N1.00 each (as at 30/5/2014) SHARES ALLOTTED 2,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT: *********************** SHAREHOLDERS (based on the 2 012 annual returns filed on 11th of Aug., 2013): NAME SHARES 1. OKORIE CHIKE 74, Refiners Road, Effurun, Warri, Delta State 1,380,,000 2. CHINEME PRECIOUS 200,000 3. CHINEDU SAMUEL 200,000 4. CHRIST GODSON 200,000 5. ONYEKACHI DANIELA O. 20,000 CURRENT DIRECTORS (based on the verified Annual returns filed in 2012): Same as shareholders SECRETARY: Chinedu Samuel of 74, Refiners Road, Effurun, Warri, Delta State BORROWING POWER: ************* ANNUAL RETURNS: paid up to 2012 CHARGES: 1. Deed of Debenture dated 3rd October, 2007 securing the sum of 550 Million Naira in favour of ECO Bank Plc 2. Deed of Debenture dated 5th July, 2010 securing the sum of 305 Million Naira in favour of Stanbic IBTC bank REMARK/COMMENT: Duly registered NB: The search is inconclusive. We believe the company’s file perhaps has more than one volume as the file produced does not contain some of the company’s information including a copy of its certificate of incorporation and memorandum and article of association. Attempts are however being made to have same sorted out. This explains the lines dotted with asterisks.",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/120950 MANNPROJECT INTERNATIONAL LTD.pdf,ng_120950 MANNPROJECT INTERNATIONAL LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OM3hBbWQzWkpBZlk/edit?usp=sharing,,,,
,Mercuria Energy Trading,"117,118",,Mercuria Energy Trading,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Mercuria Energy Trading SA,"116,118",,Mercuria Energy Trading SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Mercuria Trading NV,"116,117",,Mercuria Trading NV,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Mezcor Limited,,,Mezcor Limited,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Mezcor SA,,,Mezcor SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,2010,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,"Richard Levinson, Director
Daniel Roy Joanes, Director",,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
