Child Company Name,Immediate  %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,"Username
",Comment,Directly Controlled?,When was the relationship created?,Date acquired,Date sold,Status
BP Containment Response Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/08332051,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Continental Holdings Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00517403,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Corporate Holdings Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/04116177,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Eastern Mediterranean Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/02239062,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Egypt LNG Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05090716,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Energy Company,100,BP America Production Company,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
"BP Energy Exploration Brazil, Inc",100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Alov) Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/03196342,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Alpha) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Angola) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00615393,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Azerbaijan) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/02160234,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Canada) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Caspian Sea) Limited,100,PHP Operations,100,United Kingdom,5/5/2014 15:02:00,gb/00404347,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Delta) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00983913,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Namibia) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07728184,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Nigeria Finance) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01094374,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Nigeria) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Shah Dena) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (South Atlantic) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/08140815,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration (Vietnam) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00567256,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Angola (Kwanza Benguela) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07521628,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Beta Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00895797,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration China Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07974274,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Company (Middle East) Limited,100,BP Exploration Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00136384,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Company Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/SC000792,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Indonesia Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01009905,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Libya Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05335923,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Mexico Limited,100,BP Exploration Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00119961,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration North Africa Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05335927,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Operating Company Limited,100,BP Exploration Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00305943,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Orinoco Limited,100,BP Exploration Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00598148,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Personnel Company Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05319369,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Services Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00777236,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Exploration Venezuela Limited,100,Atlantic Richfield Company,100,United Kingdom,5/5/2014 15:02:00,gb/01029446,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Express Shopping Limited,100,BP Oil UK Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00211858,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Finance p I c,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Gas Marketing Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00908982,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Global Investments Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00263889,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Greece Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00176671,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Holdings Canada Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/08274009,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Holdings North America Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/06034588,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP International Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00542515,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Investment Management Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00321630,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Investments Asia Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05639411,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Iran Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/03502262,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Kapuas I Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04511913,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Kapuas III Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07322059,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Kazakhstan Limited (in liquidation),99,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01838589,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Liquidation
BP Korea Marketing Limited (in Liquidation),100,BP Chemicals Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00885307,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Liquidation
BP Kuwait Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00284323,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP LPG UK Limited,"99,9",BP Oil UK Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04393967,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Marine Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01214291,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Middle East Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00591214,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Mocambique Limited,100,BP Africa Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00240425,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP North Arafura Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01937365,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil International Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00322365,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Kent Refinery Limited (in liquidation),100,BP Oil UK Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00490191,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Liquidation
BP Oil Llandarcy Refinery Limited,100,BP Oil UK Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00146560,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Logistics UK Limited,100,BP Oil UK Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04942439,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil UK Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00446915,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Venezuela Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01858781,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Vietnam Limited,100,BP Asia Pacific Holdings Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00567280,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Yemen Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00190435,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Pension Trustees Limited,99,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00230748,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Pensions Limited,99,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/01337112,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Pipelines (BTC) Limited,100,BTC Pipeline Holding Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04316931,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Pipelines (SCP) Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04446121,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Properties Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00699446,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Russian Investments Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/02565511,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Services International Limited,100,BP Exploration Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05319396,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Shafag-Asiman Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07599899,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Sharjah Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05608021,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Shipping Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00140132,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP South East Asia Limited,99,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00974284,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Subsea Well Response (Brazil) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/08336474,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Subsea Well Response Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/07974282,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Sutton Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00182436,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Tanjung IV Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/05319378,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Trading Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/01033761,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Turkey Refining Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/00609762,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP West Aru I Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01937364,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP West Aru II Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/06383184,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP West Papua I Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04833438,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP West Papua Ill Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP World-Wide Technical Services Limited,100,BP Chemicals Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00510676,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP+Amoco International Limited,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/03604330,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP-Japan Oil Development Company Limited,50,BP Exploration Company Limited,50,United Kingdom,5/5/2014 15:02:00,gb/SC001501,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Britannic Energy Trading Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/01378710,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Britannic Investments Iraq Limited,100,Britannic Strategies Limited,100,United Kingdom,5/5/2014 15:02:00,gb/08116088,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Britannic Strategies Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/SC123106,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Britannic Trading Limited,100,BP International Limited,100,United Kingdom,5/5/2014 15:02:00,gb/00871912,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
British Pipeline Agency Limited,50,BP Oil UK Limited,50,United Kingdom,5/5/2014 15:02:00,gb/01228157,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Britoil Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,5/5/2014 15:02:00,gb/SC077750,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BTC Pipeline Holding Company Limited,100,BP Global Investments Limited,100,United Kingdom,5/5/2014 15:02:00,gb/04951416,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Bunduq Company Limited,"33,35",BP Exploration Company Limited,"33,35",United Kingdom,5/5/2014 15:02:00,gb/00985387,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Burmah Castrol PLC,100,BP P L C,100,United Kingdom,5/5/2014 15:02:00,gb/SC005098,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
