company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
BP Egypt Company,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/0601315,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt East Delta Marine Corporation,100,BP America Production Company,100,"Virgin Islands, British",05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt East Tanka B V,100,BPNE International B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt LNG Limited,100,BP Global Investments Limited,100,United Kingdom,05.05.14 00:00,gb/05090716,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt Production B V,100,BP Egypt Ras El Barr B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt Ras El Barr B V,100,BPNE International B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Egypt West Mediterranean (Block B) B V,100,BPNE International B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Employee Disaster Relief Fund, Inc",100,BP America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Energy America, L L C",100,BP Exploration Operating Company Limited,100,Mexico,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy Asia Pte Limited,100,BP Global Investments Limited,100,United States,05.05.14 00:00,sg/200510582K,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy Colombia Limited,100,BP Exploration Operating Company Limited,100,Singapore,05.05.14 00:00,gb/03847957,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy Company,100,BP America Production Company,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy do Brasil Ltda,100,BP Brazil Tracking L L C,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy Europe Limited,100,BP Global Investments Limited,100,Brazil,05.05.14 00:00,gb/SC107896,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Energy Exploration Brazil, Inc",100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Energy Vietnam Limited,100,BP Alternative Energy International Limited,100,"Virgin Islands, British",05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Espana, S A Unipersonal",100,BP Global Investments Limited,100,Vietnam,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Europa SE,99.99,BP Global Investments Limited,100,Spain,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploracion de Venezuela S A,100,BP Nederland Holdings BV,100,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Alaska) Inc,100,The Standard Oil Company,100,United States,05.05.14 00:00,us_de/0705017,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Algeria) Limited,100,BP Exploration Operating Company Limited,100,United States,05.05.14 00:00,gb/00972944,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Alov) Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/03196342,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Alpha) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 395 310 247,- 315 825 374,5 166 055 826,2 921 884 897,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/01021007 BP Exploration (Alpha) Limited.csv,01021007 BP Exploration (Alpha) Limited.csv,https://data.openoil.net/documents/financials/01021007 BP Exploration (Alpha) Limited.csv,200,,,,/UK Companies House filings/gb/01021007 BP Exploration (Alpha) Limited/AA 02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_01021007 BP Exploration (Alpha) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_01021007 BP Exploration (Alpha) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Angola) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/00615393,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,2 217 119 354, 696 821 739,7 893 157 311,4 098 996 241,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00615393 BP Exploration (Angola) Limited.csv,00615393 BP Exploration (Angola) Limited.csv,https://data.openoil.net/documents/financials/00615393 BP Exploration (Angola) Limited.csv,200,,,,/UK Companies House filings/gb/00615393 BP Exploration (Angola) Limited/AA 30/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00615393 BP Exploration (Angola) Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00615393 BP Exploration (Angola) Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Azerbaijan) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/02160234,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 399 811 115, 228 549 952,1 310 571 796, 274 375 843,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/02160234 BP Exploration (Azerbaijan) Limited.csv,02160234 BP Exploration (Azerbaijan) Limited.csv,https://data.openoil.net/documents/financials/02160234 BP Exploration (Azerbaijan) Limited.csv,200,,,,/UK Companies House filings/gb/02160234 BP Exploration (Azerbaijan) Limited/AA 23/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_02160234 BP Exploration (Azerbaijan) Limited/AA 23_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_02160234 BP Exploration (Azerbaijan) Limited/AA 23_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Canada) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Caspian Sea) Limited,100,PHP Operations,100,United Kingdom,05.05.14 00:00,gb/00404347,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,2 225 192 419, 639 102 473,6 616 752 971,1 546 624 478,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00404347 BP Exploration (Caspian Sea) Limited.csv,00404347 BP Exploration (Caspian Sea) Limited.csv,https://data.openoil.net/documents/financials/00404347 BP Exploration (Caspian Sea) Limited.csv,200,,,,/UK Companies House filings/gb/00404347 BP Exploration (Caspian Sea) Limited/AA 23/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00404347 BP Exploration (Caspian Sea) Limited/AA 23_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00404347 BP Exploration (Caspian Sea) Limited/AA 23_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Delta) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/00983913,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 37 503 235,- 13 547 354,1 184 436 503, 616 611 005,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00983913 BP Exploration (Delta) Limited.csv,00983913 BP Exploration (Delta) Limited.csv,https://data.openoil.net/documents/financials/00983913 BP Exploration (Delta) Limited.csv,200,,,,/UK Companies House filings/gb/00983913 BP Exploration (Delta) Limited/AA 02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00983913 BP Exploration (Delta) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00983913 BP Exploration (Delta) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (El Djazair) Limited,100,ARCO El-Djazair LLC,100,United Kingdom,05.05.14 00:00,bs/86445,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Epsilon) Limited,100,BP Exploration Operating Company Limited,100,Bahamas,05.05.14 00:00,gb/01004984,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,/UK Companies House filings/gb/01004984 BP Exploration (Epsilon) Limited/AA 17/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_01004984 BP Exploration (Epsilon) Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_01004984 BP Exploration (Epsilon) Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Finance) Limited,100,BP Exploration Company Limited,100,United Kingdom,05.05.14 00:00,gb/00336273,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Namibia) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/07728184,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,- 41 872 574, 19 517 530, 30 581 059,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/07728184 BP Exploration (Namibia) Limited.csv,07728184 BP Exploration (Namibia) Limited.csv,https://data.openoil.net/documents/financials/07728184 BP Exploration (Namibia) Limited.csv,200,,,,/UK Companies House filings/gb/07728184 BP Exploration (Namibia) Limited/AA 02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_07728184 BP Exploration (Namibia) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_07728184 BP Exploration (Namibia) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Nigeria Finance) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/01094374,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Nigeria) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Shafag-Asiman) Limited,100,BP Shafag-Asiman Limited,100,Nigeria,05.05.14 00:00,gb/07731386,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (Shah Dena) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration (South Atlantic) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/08140815,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,-  846 868,   0,  846 867,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/08140815 BP Exploration (South Atlantic) Limited.csv,08140815 BP Exploration (South Atlantic) Limited.csv,https://data.openoil.net/documents/financials/08140815 BP Exploration (South Atlantic) Limited.csv,200,,,,/UK Companies House filings/gb/08140815 BP Exploration (South Atlantic) Limited/AA 21/08/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_08140815 BP Exploration (South Atlantic) Limited/AA 21_08_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_08140815 BP Exploration (South Atlantic) Limited/AA 21_08_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration (Vietnam) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/00567256,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration & Production Inc,100,BP America Production Company,100,,05.05.14 00:00,us_de/2625238,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration Angola (Kwanza Benguela) Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/07521628,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,- 218 776 265, 537 399 100, 479 030 131,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/07521628 BP Exploration Angola (Kwanza Benguela) Limited.csv,07521628 BP Exploration Angola (Kwanza Benguela) Limited.csv,https://data.openoil.net/documents/financials/07521628 BP Exploration Angola (Kwanza Benguela) Limited.csv,200,,,,/UK Companies House filings/gb/07521628 BP Exploration Angola (Kwanza Benguela) Limited/AA02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_07521628 BP Exploration Angola (Kwanza Benguela) Limited/AA02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_07521628 BP Exploration Angola (Kwanza Benguela) Limited/AA02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration Australia Pty Ltd,100,BP Australia Investments Pty Limited,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration Beta Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/00895797,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 337 052 361, 92 090 588, 858 316 094, 297 758 432,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00895797 BP Exploration Beta Limited.csv,00895797 BP Exploration Beta Limited.csv,https://data.openoil.net/documents/financials/00895797 BP Exploration Beta Limited.csv,200,,,,/UK Companies House filings/gb/00895797 BP Exploration Beta Limited/AA 27/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00895797 BP Exploration Beta Limited/AA 27_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00895797 BP Exploration Beta Limited/AA 27_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration China Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/07974274,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,- 4 485 016,  219 879, 4 638 521,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/07974274 BP Exploration China Limited.csv,07974274 BP Exploration China Limited.csv,https://data.openoil.net/documents/financials/07974274 BP Exploration China Limited.csv,200,,,,/UK Companies House filings/gb/07974274 BP Exploration China Limited/AA 02/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_07974274 BP Exploration China Limited/AA 02_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_07974274 BP Exploration China Limited/AA 02_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration Company (Middle East) Limited,100,BP Exploration Company Limited,100,United Kingdom,05.05.14 00:00,gb/00136384,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 5 213 620,-  599 422, 140 225 506, 133 693 543,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00136384 BP Exploration Company (Middle East) Limited.csv,00136384 BP Exploration Company (Middle East) Limited.csv,https://data.openoil.net/documents/financials/00136384 BP Exploration Company (Middle East) Limited.csv,200,,,,/UK Companies House filings/gb/00136384 BP Exploration Company (Middle East) Limited/AA 13/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00136384 BP Exploration Company (Middle East) Limited/AA 13_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00136384 BP Exploration Company (Middle East) Limited/AA 13_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration Company Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/SC000792,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated, 518 962 968,14 467 207 468,10 198 544 581,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/SC000792 BP Exploration Company Limited.csv,SC000792 BP Exploration Company Limited.csv,https://data.openoil.net/documents/financials/SC000792 BP Exploration Company Limited.csv,200,,,,/UK Companies House filings/gb/SC000792 BP Exploration Company Limited/AA 04/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_SC000792 BP Exploration Company Limited/AA 04_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_SC000792 BP Exploration Company Limited/AA 04_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,404
BP Exploration do Brasil Ltda,100,"BP Energy Exploration Brazil, Inc",100,Brazil,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration Indonesia Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/01009905,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 25 704 898, 3 199 257, 92 903 226, 52 254 082,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/01009905 BP Exploration Indonesia Limited.csv,01009905 BP Exploration Indonesia Limited.csv,https://data.openoil.net/documents/financials/01009905 BP Exploration Indonesia Limited.csv,200,,,,/UK Companies House filings/gb/01009905 BP Exploration Indonesia Limited/AA 17/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_01009905 BP Exploration Indonesia Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_01009905 BP Exploration Indonesia Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration Investments B V,100,BP Holdings International B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Exploration Libya Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/05335923,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 23 862 222,- 15 425 473, 419 314 191, 266 977 633,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/05335923 BP Exploration Libya Limited.csv,05335923 BP Exploration Libya Limited.csv,https://data.openoil.net/documents/financials/05335923 BP Exploration Libya Limited.csv,200,,,,/UK Companies House filings/gb/05335923 BP Exploration Libya Limited/AA 30/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_05335923 BP Exploration Libya Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_05335923 BP Exploration Libya Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Exploration Mexico Limited,100,BP Exploration Company Limited,100,United Kingdom,05.05.14 00:00,gb/00119961,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,- 2 896 933,  977 708,  390 542,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00119961 BP Exploration Mexico Limited.csv,00119961 BP Exploration Mexico Limited.csv,https://data.openoil.net/documents/financials/00119961 BP Exploration Mexico Limited.csv,200,,,,/UK Companies House filings/gb/00119961 BP Exploration Mexico Limited/AA 2/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00119961 BP Exploration Mexico Limited/AA 2_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00119961 BP Exploration Mexico Limited/AA 2_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
